리뷰,속성,감성,속성키워드_단어
최고급은 아니지만 괜찮아요~,기타,긍정,기타
빠른 배송 좋아요!!,배송,긍정,빠른
화장지 잘쓰고 있어요 좋아요,기타,긍정,기타
잘쓰고있습니다. 감사합니다 감사합니다,기타,긍정,기타
만족합니다많이파세요,기타,긍정,기타
가성비 좋아요 잘사용하고 있습니다,가격/가성비,긍정,가성비
여기휴지 좋네요 다음에도 시킴,기타,긍정,기타
화장지에 질이 가격 대비 그렇게 좋지는 않습니다,가격/가성비,긍정,가격
먼지없고 좋아요~~,기타,긍정,기타
배송이 빠르고 저렴한 가격에 가성비 있는 제품을 구입할 수 있어서 좋습니다.,가격/가성비,긍정,가격
배송이 빠르고 저렴한 가격에 가성비 있는 제품을 구입할 수 있어서 좋습니다.,가격/가성비,긍정,가성비
배송이 빠르고 저렴한 가격에 가성비 있는 제품을 구입할 수 있어서 좋습니다.,가격/가성비,긍정,저렴
배송이 빠르고 저렴한 가격에 가성비 있는 제품을 구입할 수 있어서 좋습니다.,배송,긍정,빠르
생각보다 두껍고 가성비 만족스러워요,사용감,긍정,두껍
생각보다 두껍고 가성비 만족스러워요,가격/가성비,긍정,가성비
배송 빠르고 포장이 꼼꼼합니다,배송,긍정,빠르
저렴하게 잘 구입했네요,가격/가성비,중립,저렴
변비 친구가 잘 쓰겠대요,기타,중립,기타
가성비 좋은 가격과 빠른배송 만족합니다,가격/가성비,긍정,가격
가성비 좋은 가격과 빠른배송 만족합니다,가격/가성비,긍정,가성비
가성비 좋은 가격과 빠른배송 만족합니다,배송,긍정,빠른
아직 사용전이라 잘 모르겠네요,기타,중립,기타
좋아요좋아요좋아요좋아요,기타,긍정,기타
정기적으로 구매하는 제품입니다 ㅎㅎ 도톰하고 부드러워요~,기능/성능,긍정,도톰
정기적으로 구매하는 제품입니다 ㅎㅎ 도톰하고 부드러워요~,사용감,긍정,부드
화장지를 많이 쓰는 집이라 가성비가 좋아서 한번 사봤습니다,가격/가성비,긍정,가성비
빠르게 잘 받았습니다,배송,긍정,빠르
몇달 쓰겠네요 너무 많아요,기타,중립,기타
"큰 문제없이 잘 쓰고 있습니다,",기타,중립,기타
가성비가 좋아요,가격/가성비,긍정,가성비
착한가격에 샀어요 대용량사서 좋아요,가격/가성비,긍정,가격
도톰한 품질 만족스러워요,기능/성능,긍정,도톰
"저는 괜찮은데, 남편이 휴지가 좀 부드럽지 않다고는 하네요 케바케인 것 같아요.",사용감,긍정,부드
항상항상잘쓰고있어요,기타,중립,기타
재구매해요 잘써요 굿굿,기타,긍정,기타
가성비 최고입니다~,가격/가성비,긍정,가성비
계속 쓰던 제품을 찾았는데 안 보여서 리뷰도 괜찮고 해서 주문했는데 너무 얇아서 후회하는중이예요,사용감,긍정,얇
휴지 잘 쓰고있습니다 감사합니다,기타,긍정,기타
배송빠르고 싸서 재구매했어요,배송,긍정,빠르
가격도 저렴하고 쓸때 편하게 잘 떨어져서 좋아요,사용감,긍정,편하
가격도 저렴하고 쓸때 편하게 잘 떨어져서 좋아요,가격/가성비,긍정,가격
가격도 저렴하고 쓸때 편하게 잘 떨어져서 좋아요,가격/가성비,긍정,저렴
좋아유 아주아주 좋아유,기타,긍정,기타
가성비는 좋은데 약간 뻣뻣한 감이 있어요,가격/가성비,긍정,가성비
가족이 쓰는 휴지 잘 씁니다,기타,중립,기타
재구매해서계속사용중 큰문제없이 사용하고있네요,기타,긍정,기타
가격이 싸고 화장지가 좋아요,가격/가성비,긍정,가격
좋아요~좋아요~좋아요~,기타,긍정,기타
프리미엄 라인은 아닌것 같아요,기타,중립,기타
가성비 좋습니다 감사합니다,가격/가성비,긍정,가성비
아직 써보진않았는데 좋아 보이긴하네요,기타,긍정,기타
배송도 빠르고 묵직하고 부드러워서 언제나 즐겨 씁니다,사용감,긍정,부드
배송도 빠르고 묵직하고 부드러워서 언제나 즐겨 씁니다,배송,긍정,빠르
요즘 두루마리휴지도 비싼데 저렴히 구매했어요. 잘 쓰겠습니다.,가격/가성비,중립,저렴
써봐야 알것같아요 좋은 제품이길 바라며,기타,긍정,기타
잘받았습니다. 좀 가벼운느낌이 들긴하는데 처음써보는거라 사용해보면 알겠죵 ㅋ,기타,중립,기타
배성빠르고젛네여 앞으로 꾸즌히 구매예정,배송,긍정,빠르
항상 재구매하고 있습니다~빠른배송 감사합니다.,배송,긍정,빠른
빠른배송 넘 좋아요 감사합니당,배송,긍정,빠른
완전 좋아요! 재구매각!,기타,긍정,기타
배송빠르고 조아요,배송,긍정,빠르
이전에 쓰건거 보다는 살짝 거친 느낌이 있지만 가성비 좋습니다,가격/가성비,긍정,가성비
비싸지만 좋아요 잘 구매해써여,가격/가성비,긍정,비싸
합리적 가격에 좋은 제품 잘 구매하였습니다,가격/가성비,긍정,가격
합리적 가격에 좋은 제품 잘 구매하였습니다,가격/가성비,긍정,합리
빠른배송입니다ㅎ 잘써볼께요ㅎ,배송,중립,빠른
늘 잘사용하고 있으며 저렴하게 잘 샀습니다,가격/가성비,중립,저렴
빠른배송 휴지 좋네요 또 주문하겠습니다,배송,긍정,빠른
좋아요좋아요좋아요,기타,긍정,기타
부드러워서 편안하게 잘 쓰고 있어요.,사용감,긍정,부드
부드러워서 편안하게 잘 쓰고 있어요.,사용감,긍정,편안
몇년째 쓰는 제품 가성비 좋아요,가격/가성비,긍정,가성비
가성비 굿 가격도 굿 휴지의 질도 굿,가격/가성비,중립,가격
가성비 굿 가격도 굿 휴지의 질도 굿,가격/가성비,중립,가성비
가격도 싸고 좋아요,가격/가성비,긍정,가격
항상 쓰던 제품이라 또 구매했어요,기타,중립,기타
항상 잘 쓰고 있어요,기타,중립,기타
휴지가 좀 얇아서 좀만 두꺼웠으면 ..저렴하게 잘샀어요,사용감,중립,얇
휴지가 좀 얇아서 좀만 두꺼웠으면 ..저렴하게 잘샀어요,가격/가성비,중립,저렴
좋은 가격에 잘 구매했습니다. 잘 쓸게요. 감사합니다.,가격/가성비,긍정,가격
좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,기타,긍정,기타
그럭저럭..,기타,중립,기타
좋아요 재구매 할깨요,기타,긍정,기타
잘 받았습니다 잘 사용할께요,기타,중립,기타
감사합니다 잘쓸게요 ㅎㅎ,기타,긍정,기타
싸게 잘샀어요 좋아요,기타,긍정,기타
잘샀어요 잘샀어요 잘샀어요,기타,중립,기타
화장지 저렴하게 너무 잘산거같아요 몇달 걱정없이 쓰겠어요,가격/가성비,긍정,저렴
마구 쓰기 좋아요 좋아요,기타,긍정,기타
그렇게 막 좋은 품질의 화장지는 아니지만 가성비 따지면 이만한게 없어서 또사고 엄마보내드리고 또사고 있네요ㅎ 잘쓰겠습니다,가격/가성비,긍정,가성비
매번 빠른 배송 감사합니다,배송,긍정,빠른
싸게잘샀어요 늘여기서구매합니다,기타,중립,기타
단단한게좋아요감사해요잘쓰겠습니다,기능/성능,긍정,단단
가격좋고 두툼하니쓰기좋아요,가격/가성비,긍정,가격
부드럽고 길이도 길고 가성비 최고입니다,사용감,긍정,부드
부드럽고 길이도 길고 가성비 최고입니다,가격/가성비,긍정,가성비
가성비!!좋아요~뿌듯,가격/가성비,긍정,가성비
2번째 구매했습니다. 써보니까 괜찮더라고요. 재구매 의사있슴.,기타,긍정,기타
늘 쓰는 제품이예요 오래 쓰진 못해요ㅎ,기타,중립,기타
가격 대비 만족 합니다,가격/가성비,긍정,가격
최고의 가성비 갑 감사합니다,가격/가성비,긍정,가성비
좋아요좋아요좋아요좋아요ㅡ,기타,긍정,기타
대왕이라 샀어요. 먼지 덜 날리고 좋아요,기타,긍정,기타
안전하게 왔어요 잘 쓸게요,기타,중립,기타
빠른 배송에 감사 합니다.,배송,긍정,빠른
매번 쓰는거에요 질 좋아요,기타,긍정,기타
좋아요 아주좋아요 따따봉,기타,긍정,기타
먼지고많고 거칠어서 피부가따갑네요,사용감,부정,거칠
먼지고많고 거칠어서 피부가따갑네요,피부/안전,부정,따갑
먼지고많고 거칠어서 피부가따갑네요,피부/안전,부정,피부
사용전이지만 좋아보이네요,기타,긍정,기타
부드럽고 먼지 더날서 사용하기 좋아요,사용감,긍정,부드
휴지가 싸고 괜찮아요 다음에 다시 구매 할께요,기타,긍정,기타
심지부분 깔끔하게 끝나서 너무좋아요 3개묶음가격도 넘착하고 쭉~~ 쓸께요,가격/가성비,긍정,가격
잘먹을께요 기대됩니다.,기타,중립,기타
고민하다 이거질렀는데 쓰던거랑 똑같은거였네요 가성비좋아요,가격/가성비,긍정,가성비
배송빠르게 받았습니다,배송,긍정,빠르
배송 빠르고 가격대비 좋아요,가격/가성비,긍정,가격
배송 빠르고 가격대비 좋아요,배송,긍정,빠르
가성비가 뛰어난 상품인것 같습니다. 100% 재 구매 할겁니다.,가격/가성비,중립,가성비
잘왔어요 잘쓸께요~~,기타,중립,기타
배송도 빠르고 좋아요 :),배송,긍정,빠르
이 가격에 어디서 사겠어요? 잘 쓰께요 ~,가격/가성비,중립,가격
두번째 구매요 타제품 보다 먼지가 덜 날려요 질감도 쫀쫀하고 좋아요,기타,긍정,기타
잘받았습니다 감사합니다 만족입니다,기타,긍정,기타
배송 빠르고 하자없이 잘 도착했어요,배송,긍정,도착
배송 빠르고 하자없이 잘 도착했어요,배송,긍정,빠르
가격대비 푸짐하고 좋아요.쟁겨놓고 쓰기 좋네요,가격/가성비,긍정,가격
빠른배송좋아요 판매자님 감사합니다 ㅎㅎ,배송,긍정,빠른
좋아요!2!!,기타,긍정,기타
벌써 세번째 구매입니다. 먼지가 많이 안나서 너무 좋아 사용합니다.빠른 배송 감사 드립니다.많이 파셔요.,배송,긍정,빠른
배송도 빠르고 가격도 저렴하고 좋아요,가격/가성비,긍정,가격
배송도 빠르고 가격도 저렴하고 좋아요,가격/가성비,긍정,저렴
배송도 빠르고 가격도 저렴하고 좋아요,배송,긍정,빠르
이정도 가격에 이정도 상품이면 좋은듯요ㅎ,가격/가성비,긍정,가격
배송도빠르고좋아요굿,배송,긍정,빠르
끝이 풀려있고 좀 뻣뻣한든 써봐야 알 듯,기타,중립,기타
배송도 빠르고 품질도 좋아요 만족합니다,배송,긍정,빠르
사무실에서 막쓰기 좋아요,기타,긍정,기타
가격 괜찮고 빠른배송 좋으나 휴지가 약간 빳빳한 느낌이에여,가격/가성비,긍정,가격
가격 괜찮고 빠른배송 좋으나 휴지가 약간 빳빳한 느낌이에여,배송,긍정,빠른
잘 사용중이에요,기타,중립,기타
수량도 많고 가격도 합리적이라 재주문인데 엄청 빠르게 배송되었어요!!,가격/가성비,긍정,가격
수량도 많고 가격도 합리적이라 재주문인데 엄청 빠르게 배송되었어요!!,가격/가성비,긍정,합리
수량도 많고 가격도 합리적이라 재주문인데 엄청 빠르게 배송되었어요!!,배송,긍정,빠르
가성비 너무 좋아용 ㅠㅎㅎ,가격/가성비,긍정,가성비
빠른배송 감사합니다 ㅎ ㅎ,배송,긍정,빠른
짱짱하니굿이요 먼지날림적어요,기타,중립,기타
너무 맘에 들어요 가성비 최고입니다 많이 파세요~,가격/가성비,긍정,가성비
배송 빠르고 좋아요.,배송,긍정,빠르
가격대비 질이 좋아요. 앞으로 계속 쓸꺼같네요.,가격/가성비,긍정,가격
도톰하고 저렴해서 좋아요 오래 사용할 수 있을 것 같아요!,기능/성능,긍정,도톰
도톰하고 저렴해서 좋아요 오래 사용할 수 있을 것 같아요!,가격/가성비,긍정,저렴
가성비좋고 사용하기에 질도 괜찮은거 같아요,가격/가성비,긍정,가성비
뻣뻣하니~~재활용 휴지같아요,기타,중립,기타
저렴하고 3겹이라 좋아요~,가격/가성비,긍정,저렴
가성비 최고입니다 당분간은 화장지 걱정안해도될듯요,가격/가성비,긍정,가성비
품질좋고 가격좋아요. 가성비굿~,가격/가성비,긍정,가격
품질좋고 가격좋아요. 가성비굿~,가격/가성비,긍정,가성비
"보들보들. 너무 만족해요,",기타,긍정,기타
잘 사용 하고 있어요,기타,중립,기타
항상 여기에서 구입해서 사용하고 있습니다. 잘쓰겠습니다.,기타,중립,기타
배송 빠르고 상태 좋네요.,배송,긍정,빠르
가성비 아주 좋아요,가격/가성비,긍정,가성비
오늘 도착해서 바로 사용해봤습니다 먼지가 안나고 부드러워서 아주 좋아요,사용감,긍정,부드
오늘 도착해서 바로 사용해봤습니다 먼지가 안나고 부드러워서 아주 좋아요,배송,긍정,도착
재구매합니다 감사합니다,기타,긍정,기타
아직 사용전이라 부드러운 정도는 알수 없지만 가격적으로 아주 맘에 듭니다.,사용감,긍정,부드
아직 사용전이라 부드러운 정도는 알수 없지만 가격적으로 아주 맘에 듭니다.,가격/가성비,긍정,가격
저렴하게 잘 구매하였습니다,가격/가성비,중립,저렴
감사합니다 잘먹겠습니다,기타,긍정,기타
잘사용하고있어요~~,기타,중립,기타
감사합니다 잘 받았습니다,기타,긍정,기타
배송도 빠르고 좋아용,배송,긍정,빠르
아주 좋아요!!,기타,긍정,기타
아주 만족스럽습니다!!,기타,긍정,기타
배송도빠르고 제품 좋아요 만족합니다,배송,긍정,빠르
매일 사용하는 휴지이고 4인 가족이 쓰다보면 금방 없어지기 때문에 30롤3개를 쟁여놓으니 마음이 편합니다. 무향.무색 탄력이 느껴지는 휴지이고 살짝 거친느낌이 화장실용으로도 더 좋은것 같습니다,냄새/향,긍정,무향
매일 사용하는 휴지이고 4인 가족이 쓰다보면 금방 없어지기 때문에 30롤3개를 쟁여놓으니 마음이 편합니다. 무향.무색 탄력이 느껴지는 휴지이고 살짝 거친느낌이 화장실용으로도 더 좋은것 같습니다,냄새/향,긍정,향
홈플에서 꾸준히 사서 썼는데 갑자기 가격이 너무 올라서 네이버 검색 후 구입했어요,가격/가성비,중립,가격
잘 사용 중 입니다!,기타,중립,기타
아주 좋아요 재구매 의사 있어여,기타,긍정,기타
부드럽습니다. 닦아보면 압니다,사용감,긍정,부드
몇번재구매한제품이에요~가성비좋은거같아요,가격/가성비,긍정,가성비
아 이거 크리넥스 쓰다가 쓰면 많이 아쉽지만 가성비원탑입니다.,가격/가성비,부정,가성비
두껍기도 적당하고 사용시 찢어짐도 없고 가격도 괜찮아 만족합니다.,사용감,긍정,두껍
두껍기도 적당하고 사용시 찢어짐도 없고 가격도 괜찮아 만족합니다.,가격/가성비,긍정,가격
두껍기도 적당하고 사용시 찢어짐도 없고 가격도 괜찮아 만족합니다.,포장,긍정,찢
배송이 빠르고 좋네요,배송,긍정,빠르
좋은 가격에 잘 샀네요.한동안 잘 쓸듯요,가격/가성비,긍정,가격
배송도 빠르고 싸게 구매했어요,배송,긍정,빠르
먼지도 안나고 잘 찢어지지도 않았서 사용하기 굿,포장,중립,찢
첨사봤는데 생각보다 재질은 별로인데 가성비 좋네요!!,가격/가성비,긍정,가성비
첨사봤는데 생각보다 재질은 별로인데 가성비 좋네요!!,가격/가성비,부정,가성비
적당히 부드럽고 도톰해서 좋아요.,기능/성능,긍정,도톰
적당히 부드럽고 도톰해서 좋아요.,사용감,긍정,부드
한우 투뿔 9번이 최고등급 쌀도 특등급이 최고로 맛있듯 휴지도 최고네요,기타,긍정,기타
가성비가 너무좋아요,가격/가성비,긍정,가성비
부드랍고 사용하기 좋아요 배송도 빠르고 만족합니다,사용감,긍정,부드
부드랍고 사용하기 좋아요 배송도 빠르고 만족합니다,배송,긍정,빠르
배송이 빠르게 왔네요 아직 사용해보지 않았지만 좋을것 같아요,배송,긍정,빠르
매번 재구매해요 추천합니다,기타,긍정,기타
상품평이 좋아서 구매했어요 잘 쓰겠습니다,기타,긍정,기타
빠른 배송 감사..,배송,긍정,빠른
빠른 배송 감사합니다.,배송,긍정,빠른
가성비좋아요 금방쓰네요,가격/가성비,긍정,가성비
항상 이용하는데 쓸수록 좋아요,기타,긍정,기타
잘 쓰고있어요~ 좋아요~,기타,긍정,기타
당분간 휴지 걱정은 없네요,기타,중립,기타
국내생산이라 안심하고 쓸 수 있어요 질도 좋고 오래쓰고 저렴하고 아주 좋아요!,피부/안전,긍정,안심
국내생산이라 안심하고 쓸 수 있어요 질도 좋고 오래쓰고 저렴하고 아주 좋아요!,가격/가성비,긍정,저렴
만족합니다 가성비 최곱니다,가격/가성비,긍정,가성비
배송빠르고 좋은가격에 세겹에 양도 많아 두고두고 사용하겠네요. 아직사용전인데 써보고 좋으면 또 구입할 예정입니다.,가격/가성비,긍정,가격
배송빠르고 좋은가격에 세겹에 양도 많아 두고두고 사용하겠네요. 아직사용전인데 써보고 좋으면 또 구입할 예정입니다.,배송,긍정,빠르
"질도좋고,먼지도 덜 날려서 너무좋아요",기타,긍정,기타
먼지도없고 대용량에 저렴한가격까지 아주 만족합니다.,가격/가성비,긍정,가격
먼지도없고 대용량에 저렴한가격까지 아주 만족합니다.,가격/가성비,긍정,저렴
휴지가ㅡ필요한 때 딱 구입!!,기타,중립,기타
가정화장실용으론 거친편에 속하지만 쓰다보니 가성비라 계속 사게되네요.,가격/가성비,중립,가성비
배송빠르고 싸게 구매 잘했어요,배송,긍정,빠르
빠른배송좋아요 저렴하게 잘산거같아요 아직 사용 전이지만 괜찮아보이네요,가격/가성비,긍정,저렴
빠른배송좋아요 저렴하게 잘산거같아요 아직 사용 전이지만 괜찮아보이네요,배송,긍정,빠른
다른대갓다가 다시 돌아왓네요,기타,중립,기타
네 사용하기 불편한 거 없네요,사용감,부정,불편
항상 재주문해서 잘 사용하고있어요,기타,중립,기타
일단 30m짜리라 만족인데 가성비도 굳굳입니다. 먼지도 덜 날리는 제품이길 기대하고 있어요,가격/가성비,긍정,가성비
가성비 최고! 휴지를 많이 써서 주문했는데 넉넉한 양도 굿굿 먼지도 거의 없고 도~톰하니 좋습니다ㅎㅎ,가격/가성비,긍정,가성비
탄탄해요! 가루도 안날리고 좋아요,기능/성능,긍정,탄탄
조금 얇긴하지만 먼지 날림없고 좋아요,사용감,긍정,얇
생각보다 도톰하고 좋아요,기능/성능,긍정,도톰
대량으로 저렴하게 잘 구입했어요 저희집 주문하고 엄마집도 주문해드렸어요 강추합니다,가격/가성비,중립,저렴
저번에 사용하고 좋아 다시 구매했습니다,기타,긍정,기타
히히 휴지다 비염이다 엉엉,기타,중립,기타
가격대비 좋습니다 번창하세요,가격/가성비,긍정,가격
휴지를 이번에 바꿨는데 생각보다 너무 좋은데요..담에도 꼭 이제품으로 구매해서 사용하려합니다..,기타,긍정,기타
빠른 배송 및 깔끔한 포장,배송,긍정,빠른
빠르게 도착 했네요. 잘 쓰겠습니다.,배송,긍정,도착
빠르게 도착 했네요. 잘 쓰겠습니다.,배송,긍정,빠르
좋아요 가성비대비 좋습니다~,가격/가성비,긍정,가성비
배송도 빠르고 질도 좋아요~,배송,긍정,빠르
"좋아요 싸고많코 토고,",기타,긍정,기타
"두번째 구매 입니다. 가성비 갑! 길이, 수량 모두 최소~. 품질도 좋아요! 떨어지면 또 구매할게요~",가격/가성비,긍정,가성비
아직 안써봤습니다. 나중에 한달사용리뷰에 어떤지 쓸게요.,기타,중립,기타
화장지 매번 사지 귀찮아서 쟁겨봅니다 좋어요,기타,긍정,기타
몇년째 쓰는거에여 좋아요,기타,긍정,기타
다른브랜드 쓰다가 처음구매해봤는데 두껍고 좋네요. 앞으로는 계속 이거쓸듯,사용감,긍정,두껍
가성비 너무 좋아요 또 구매 할개요,가격/가성비,긍정,가성비
빠르게 잘 받았어요,배송,긍정,빠르
가격대비 만족해요 재재구매 했어요,가격/가성비,긍정,가격
가성비가 좋아요. 굿,가격/가성비,긍정,가성비
저아여 만족합니디ㅗㅎㅊ,기타,긍정,기타
제품 좋아요 만족해요 굿잡 브라보 나이스,기타,긍정,기타
가성비가 너무 좋네요,가격/가성비,긍정,가성비
좋아요베리굿베리굿 좋아요베리굿베리굿 좋아요베리굿베리굿,기타,긍정,기타
양도많고 휴지도 너무 얇지않아서 잘 쓰고있어요! 한꺼번에 사놓길 잘한거같습니다.,사용감,중립,얇
가성비 너무 좋습니다,가격/가성비,긍정,가성비
저렴한 가격에 구입했는데 지금까지 만족스럽게 사용 중입니다. 다음에도 구매할 생각이예요,가격/가성비,긍정,가격
저렴한 가격에 구입했는데 지금까지 만족스럽게 사용 중입니다. 다음에도 구매할 생각이예요,가격/가성비,긍정,저렴
좋습니다 좋습니다.,기타,긍정,기타
질이 화장실용으로 쓰기 딱좋아요 너무 부드럽지도 질기지도 않은 중간이예요,사용감,긍정,부드
잘 받았습니다~~,기타,중립,기타
가격저렴하고 질좋은 상품이네요.,가격/가성비,긍정,가격
가격저렴하고 질좋은 상품이네요.,가격/가성비,긍정,저렴
가성비 최고 품질이좋음,가격/가성비,긍정,가성비
넉넉한 수량에 넉넉하게 사용중입니다. 부드럽고 두꺼워서 줗음,사용감,긍정,부드
저렴한 가격에 대용량으로 구매했습니다,가격/가성비,중립,가격
저렴한 가격에 대용량으로 구매했습니다,가격/가성비,중립,저렴
먼지도 정말 하나도 안나고 두께도 두껍고 너무 좋아요,사용감,긍정,두껍
단다하고 사용하기 매우 좋아요,기타,긍정,기타
좋아요 좋아 좋아요 좋아요 좋아 좋아요 좋아요 좋아 좋아요 좋아요 좋아 좋아요 좋아요 좋아 좋아요 좋아요 좋아 좋아요 좋아요 좋아 좋아요 좋아요,기타,긍정,기타
대용량 저렴하고 좋아요,가격/가성비,긍정,저렴
휴지 두께도 그렇고 저렴하게 잘 산것같아요 처음샀는데 만족해요 자구매 할 생각있어요,가격/가성비,긍정,저렴
처음 구매해봤는데 두껍지는 않지만 사용하기에 괜찮아요,사용감,긍정,두껍
배송빠르고 품질좋아요,배송,긍정,빠르
아직이지만 잘쓰겠습니다,기타,중립,기타
잘 받았스빈아~!! 잘 쓸께영,기타,중립,기타
매번 사용하던거라 재주문 했어요,기타,중립,기타
사용할때 가루?안날려서 조아요,기타,긍정,기타
가성비 최고 잘쓰고있어요,가격/가성비,긍정,가성비
저렴하게 잘샀습니다,가격/가성비,중립,저렴
도톰하고 튼튼하고 점선 분리도 잘 되고 먼지도 없어요 게다가 저렴하지만 결코 저렴한 티가 전혀 없네요 최고의 만족입니다,기능/성능,긍정,도톰
도톰하고 튼튼하고 점선 분리도 잘 되고 먼지도 없어요 게다가 저렴하지만 결코 저렴한 티가 전혀 없네요 최고의 만족입니다,가격/가성비,긍정,저렴
매번구매하는휴지! 저렴하고 나름도톰해서 매번구매하고있어요굿굿,기능/성능,중립,도톰
매번구매하는휴지! 저렴하고 나름도톰해서 매번구매하고있어요굿굿,가격/가성비,중립,저렴
쓰기 편하고 양도 많고 좋네요,사용감,긍정,편하
현대인의 필수품이죠 없으면 안되는거 이번이 첫 구매인데 사용해보고 좋으면 계속,기타,긍정,기타
사용하던 제품이라 만족합니다.,기타,긍정,기타
잘 쓰고 있습니다~ 감사합니다,기타,긍정,기타
조금 얇은감이 없지않아 있지만 저렴하니 씁니다,사용감,중립,얇
조금 얇은감이 없지않아 있지만 저렴하니 씁니다,가격/가성비,중립,저렴
화장지 빠른 배송 감사합니다.,배송,긍정,빠른
쿠X이용하다가 처음으로 휴지 주문했는데 먼지도없고 탄탄하고 좋아요,기능/성능,긍정,탄탄
배송빠르고 질은 아직.모르겠지만 괜찮은듯 싶어요,배송,긍정,빠르
꾸준히 구매하는제품 좋아용,기타,긍정,기타
몇년째 잘 쓰고 있어요.,기타,중립,기타
가격이 저렴해서 구매해봤어요 재질도 부드럽고 가성비 짱짱 좋은 것 같아요,사용감,긍정,부드
가격이 저렴해서 구매해봤어요 재질도 부드럽고 가성비 짱짱 좋은 것 같아요,가격/가성비,긍정,가격
가격이 저렴해서 구매해봤어요 재질도 부드럽고 가성비 짱짱 좋은 것 같아요,가격/가성비,긍정,가성비
가격이 저렴해서 구매해봤어요 재질도 부드럽고 가성비 짱짱 좋은 것 같아요,가격/가성비,긍정,저렴
이건 갠적으로 좋아서 계속 구매해서 사용중입니다,기타,긍정,기타
가성비 최고에요 좋습니당,가격/가성비,긍정,가성비
"프리미엄이라 최상급 생각했는데, 좀 아쉬운 퀄리티에요. 가성비 괜찮아 잘 쓰도록 할게요.",가격/가성비,긍정,가성비
아직 써보진않았지만 재질은 괜찮은거 같아요,기타,긍정,기타
배송 빠르고 저렴한가격 좋내요.,가격/가성비,긍정,가격
배송 빠르고 저렴한가격 좋내요.,가격/가성비,긍정,저렴
배송 빠르고 저렴한가격 좋내요.,배송,긍정,빠르
양도많고 천천히 써볼게요,기타,중립,기타
"새집으로 이사 가신 지인분께 어떤 선물을 드릴까 고민하다가, 실용적인 두루마리 휴지를 선물로 드렸습니다. 다행히 너무나 만족스럽다는 후기를 전해주셔서 저도 마음이 뿌듯했습니다. 매일 사용하는 생필품이라 더욱 실용적이고 좋다고 하시더라고요. 덕분에 앞으로도 집들이 선물로 고민될 때 좋은 선택지가 될 것 같습니다. 다음에 또 좋은 기회가 있다면 꼭 다시 선물하고 싶습니다.",기능/성능,긍정,새
"새집으로 이사 가신 지인분께 어떤 선물을 드릴까 고민하다가, 실용적인 두루마리 휴지를 선물로 드렸습니다. 다행히 너무나 만족스럽다는 후기를 전해주셔서 저도 마음이 뿌듯했습니다. 매일 사용하는 생필품이라 더욱 실용적이고 좋다고 하시더라고요. 덕분에 앞으로도 집들이 선물로 고민될 때 좋은 선택지가 될 것 같습니다. 다음에 또 좋은 기회가 있다면 꼭 다시 선물하고 싶습니다.",기능/성능,부정,새
먼지가 덜 나오는 것 같아요 좋아요,기타,긍정,기타
좋아요 잘사용할께요~,기타,긍정,기타
아직 쓰지안고있습니다. 비교적 빨리 도착해서 만족합니다,배송,긍정,도착
아직 쓰지안고있습니다. 비교적 빨리 도착해서 만족합니다,배송,긍정,빨리
좋네요 화장지 좋아요,기타,긍정,기타
매우 만족 합니다 배송도 빠르게 받았어요,배송,긍정,빠르
집에 강쥐가 있어 휴지를 많이 쓰는데 90롤 가격이 좋아서 주문함 아주 고급화장지는 아니지만 막쓰기엔 상태가 좋네요 겨울이라 햇빛이 적어 먼지 날림 상태 확인은 어렵지만 3겹에 흐물거리지않아 제사용 용도엔 딱입니다,가격/가성비,긍정,가격
두께도 두껍고 좋아요,사용감,긍정,두껍
가격도 착하고 리뷰도 좋아서 주문해 봤어요.,가격/가성비,긍정,가격
매우만족합니다 휴지가 조아요,기타,긍정,기타
저렴하니 잘 산것 같아요~~,가격/가성비,중립,저렴
대용량 입니다 . 매일 쓰기에 많은 량을 선택했는데 룰도 단단하고 부드럽고 조아요 강추합니다,기능/성능,긍정,단단
대용량 입니다 . 매일 쓰기에 많은 량을 선택했는데 룰도 단단하고 부드럽고 조아요 강추합니다,사용감,긍정,부드
쓸만해요. 가성비 있어요,가격/가성비,중립,가성비
질이 좋습니다. 가성비도 좋구요~,가격/가성비,긍정,가성비
저렴한 가격으로 잘 샀어요,가격/가성비,중립,가격
저렴한 가격으로 잘 샀어요,가격/가성비,중립,저렴
화장지는 몇년째 여기서만 주문해 쓰고있어요,기타,중립,기타
추천이 많아서 한번 써보려구요,기타,긍정,기타
도똠하고 좋아요. 회사 식구들이 잘쓰고 있습니다,기타,긍정,기타
배송빠르고 가성비 좋습니다.,가격/가성비,긍정,가성비
배송빠르고 가성비 좋습니다.,배송,긍정,빠르
아주좋아요 빠른배송 만족,배송,긍정,빠른
계속 잘 사용하고 있어요,기타,중립,기타
배송빨라요~ 가성비 좋아요~~,가격/가성비,긍정,가성비
아직 안써봤는데 싸게 잘샀아요,기타,중립,기타
빠른배송이 좋고 좋은제품 저렴하게 구입해서 좋네요,가격/가성비,긍정,저렴
빠른배송이 좋고 좋은제품 저렴하게 구입해서 좋네요,배송,긍정,빠른
가성비 너무 졸아요,가격/가성비,중립,가성비
질도 좋고 양도 많아요 배소도 빠르고요,배송,긍정,빠르
배송이 빨라요. 저렴하게 구입했어요.,가격/가성비,중립,저렴
